condition,algorithm,arm_regime,k,round,n_sims,active_ecological_richness_mean,active_ecological_richness_sd,active_feasible_richness_mean,active_feasible_richness_sd,cumulative_unique_mean,cumulative_unique_sd,unique_share_mean,unique_share_sd,unique_over_active_mean,unique_over_active_sd,new_discovered_mean,new_discovered_sd,feasible_richness_mean,feasible_richness_sd,cumulative_unique_over_feasible_mean,cumulative_unique_over_feasible_sd
ecology_k_10,egreedy_0.1,fixed,10,73,100,10.0,0.0,9.99,0.099498743710662,7.97,2.0221523186941184,0.797,0.20221523186941187,0.797,0.20221523186941187,0.08,0.2712931993250107,9.99,0.099498743710662,0.798,0.20296797776989356
ecology_k_10,egreedy_0.1,fixed,10,74,100,10.0,0.0,9.99,0.099498743710662,8.06,2.009079391164023,0.806,0.20090793911640228,0.806,0.20090793911640228,0.09,0.2861817604250837,9.99,0.099498743710662,0.807,0.2016209314530612
ecology_k_10,egreedy_0.1,fixed,10,75,100,10.0,0.0,9.99,0.099498743710662,8.15,1.9665960439297137,0.8150000000000001,0.19665960439297137,0.8150000000000001,0.19665960439297137,0.09,0.2861817604250837,9.99,0.099498743710662,0.8160000000000001,0.19734234213670415
ecology_k_10,egreedy_0.1,fixed,10,76,100,10.0,0.0,9.99,0.099498743710662,8.22,1.8951517089668573,0.822,0.18951517089668574,0.822,0.18951517089668574,0.07,0.2551470164434615,9.99,0.099498743710662,0.823,0.19018675032714555
ecology_k_10,egreedy_0.1,fixed,10,77,100,10.0,0.0,9.99,0.099498743710662,8.29,1.8777380008936284,0.829,0.18777380008936284,0.829,0.18777380008936284,0.07,0.2551470164434615,9.99,0.099498743710662,0.83,0.18841443681416772
ecology_k_10,egreedy_0.1,fixed,10,78,100,10.0,0.0,9.99,0.099498743710662,8.33,1.8870877033142894,0.833,0.18870877033142897,0.833,0.18870877033142897,0.04,0.19595917942265426,9.99,0.099498743710662,0.834,0.18932511719262185
ecology_k_10,egreedy_0.1,fixed,10,79,100,10.0,0.0,9.99,0.099498743710662,8.42,1.8771254619763698,0.842,0.187712546197637,0.842,0.187712546197637,0.09,0.2861817604250837,9.99,0.099498743710662,0.843,0.18828435941415847
ecology_k_10,egreedy_0.1,fixed,10,80,100,10.0,0.0,9.99,0.099498743710662,8.46,1.8569868066305695,0.846,0.18569868066305695,0.846,0.18569868066305695,0.04,0.19595917942265426,9.99,0.099498743710662,0.847,0.18625520126965583
ecology_k_10,egreedy_0.1,fixed,10,81,100,10.0,0.0,9.99,0.099498743710662,8.51,1.808286481727937,0.851,0.18082864817279368,0.851,0.18082864817279368,0.05,0.21794494717703367,9.99,0.099498743710662,0.852,0.18137254478007414
ecology_k_10,egreedy_0.1,fixed,10,82,100,10.0,0.0,9.99,0.099498743710662,8.57,1.795856341693288,0.857,0.17958563416932882,0.857,0.17958563416932882,0.06,0.23748684174075835,9.99,0.099498743710662,0.858,0.18009997223764362
ecology_k_10,egreedy_0.1,fixed,10,83,100,10.0,0.0,9.99,0.099498743710662,8.63,1.786924732606273,0.863,0.1786924732606273,0.863,0.1786924732606273,0.06,0.23748684174075835,9.99,0.099498743710662,0.864,0.17917589123540031
ecology_k_10,egreedy_0.1,fixed,10,84,100,10.0,0.0,9.99,0.099498743710662,8.66,1.7732456118654292,0.866,0.1773245611865429,0.866,0.1773245611865429,0.03,0.1705872210923198,9.99,0.099498743710662,0.867,0.1777948255714997
ecology_k_10,egreedy_0.1,fixed,10,85,100,10.0,0.0,9.99,0.099498743710662,8.7,1.7635192088548397,0.87,0.176351920885484,0.87,0.176351920885484,0.04,0.19595917942265426,9.99,0.099498743710662,0.871,0.1768021493082027
ecology_k_10,egreedy_0.1,fixed,10,86,100,10.0,0.0,9.99,0.099498743710662,8.78,1.6767826334978544,0.878,0.16767826334978544,0.878,0.16767826334978544,0.08,0.2712931993250107,9.99,0.099498743710662,0.879,0.16810413439294108
ecology_k_10,egreedy_0.1,fixed,10,87,100,10.0,0.0,9.99,0.099498743710662,8.81,1.659487872808958,0.881,0.1659487872808958,0.881,0.1659487872808958,0.03,0.1705872210923198,9.99,0.099498743710662,0.882,0.1663610531344401
ecology_k_10,egreedy_0.1,fixed,10,88,100,10.0,0.0,9.99,0.099498743710662,8.82,1.6515447314559784,0.882,0.16515447314559784,0.882,0.16515447314559784,0.01,0.099498743710662,9.99,0.099498743710662,0.883,0.16556267695347282
ecology_k_10,egreedy_0.1,fixed,10,89,100,10.0,0.0,9.99,0.099498743710662,8.86,1.6432893841317178,0.886,0.16432893841317178,0.886,0.16432893841317178,0.04,0.19595917942265426,9.99,0.099498743710662,0.887,0.16471490521504117
